Date,Ticker,Market Cap,P/E Ratio,Price to Book,ROE (%)
2026-03-27,BBCA.JK,824187312668672,14.35,2.93,21.14
2026-03-27,BMRI.JK,444266652368896,7.89,1.51,19.14
2026-03-27,BBNI.JK,145301511864320,7.26,0.85,11.73
2026-03-27,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-03-27,TLKM.JK,302139775647744,13.9,2.2,18.31
2026-03-30,BBCA.JK,793434071760896,13.81,2.82,21.14
2026-03-30,BMRI.JK,438666652549120,7.79,1.49,19.14
2026-03-30,BBNI.JK,143438670462976,7.17,0.84,11.73
2026-03-30,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-03-30,TLKM.JK,301149148151808,13.86,2.2,18.31
2026-03-31,BBCA.JK,793434071760896,13.81,2.82,21.14
2026-03-31,BMRI.JK,440533319155712,7.83,1.5,19.14
2026-03-31,BBNI.JK,140085559296000,7.0,0.82,11.73
2026-03-31,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-03-31,TLKM.JK,303130403143680,13.96,2.21,18.31
2026-04-01,BBCA.JK,799584666255360,13.92,2.84,21.14
2026-04-01,BMRI.JK,440533319155712,7.82,1.5,19.14
2026-04-01,BBNI.JK,138595289530368,6.93,0.81,11.73
2026-04-01,GOTO.JK,56286540464128,N/A,1.77,-5.08
2026-04-01,TLKM.JK,312045983498240,14.36,2.28,18.31
2026-04-02,BBCA.JK,808810658660352,14.09,2.87,21.14
2026-04-02,BMRI.JK,434000002809856,7.71,1.48,19.14
2026-04-02,BBNI.JK,137850154647552,6.89,0.8,11.73
2026-04-02,GOTO.JK,56286540464128,N/A,1.77,-5.08
2026-04-02,TLKM.JK,310064728506368,14.28,2.26,18.31
2026-04-03,BBCA.JK,808810658660352,14.08,2.87,21.14
2026-04-03,BMRI.JK,434000002809856,7.71,1.48,19.14
2026-04-03,BBNI.JK,137850154647552,6.89,0.8,11.73
2026-04-03,GOTO.JK,56286540464128,N/A,1.77,-5.08
2026-04-03,TLKM.JK,310064728506368,14.27,2.26,18.31
2026-04-06,BBCA.JK,799584666255360,13.92,2.84,21.14
2026-04-06,BMRI.JK,430266669596672,7.64,1.46,19.14
2026-04-06,BBNI.JK,135614741610496,6.78,0.79,11.73
2026-04-06,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-06,TLKM.JK,313036610994176,14.4,2.28,18.31
2026-04-07,BBCA.JK,799584666255360,13.92,2.84,21.14
2026-04-07,BMRI.JK,420933336563712,7.48,1.43,19.14
2026-04-07,BBNI.JK,130771360677888,6.54,0.76,11.73
2026-04-07,GOTO.JK,54162519752704,N/A,1.7,-5.08
2026-04-07,TLKM.JK,307092879572992,14.13,2.24,18.31
2026-04-08,BBCA.JK,830337974272000,14.46,2.95,21.14
2026-04-08,BMRI.JK,435866669416448,7.74,1.48,19.14
2026-04-08,BBNI.JK,140830702567424,7.04,0.82,11.73
2026-04-08,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-08,TLKM.JK,313036610994176,14.42,2.28,18.31
2026-04-09,BBCA.JK,796509335453696,13.86,2.83,21.14
2026-04-09,BMRI.JK,426533336383488,7.57,1.45,19.14
2026-04-09,BBNI.JK,138222717894656,6.91,0.8,11.73
2026-04-09,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-09,TLKM.JK,316008493481984,14.55,2.3,18.31
2026-04-10,BBCA.JK,824187312668672,14.35,2.93,21.14
2026-04-10,BMRI.JK,435866669416448,7.74,1.48,19.14
2026-04-10,BBNI.JK,138967861166080,6.95,0.81,11.73
2026-04-10,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-10,TLKM.JK,317989714919424,14.65,2.32,18.31
2026-04-13,BBCA.JK,808810658660352,14.08,2.87,21.14
2026-04-13,BMRI.JK,429333319516160,7.62,1.46,19.14
2026-04-13,BBNI.JK,137105019764736,6.85,0.8,11.73
2026-04-13,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-13,TLKM.JK,316008493481984,14.55,2.3,18.31
2026-04-14,BBCA.JK,830337974272000,14.46,2.95,21.14
2026-04-14,BMRI.JK,439600002629632,7.81,1.5,19.14
2026-04-14,BBNI.JK,139340424413184,6.97,0.81,11.73
2026-04-14,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-14,TLKM.JK,309074134564864,14.24,2.25,18.31
2026-04-15,BBCA.JK,805735327858688,14.02,2.86,21.14
2026-04-15,BMRI.JK,434000002809856,7.71,1.48,19.14
2026-04-15,BBNI.JK,136732448129024,6.83,0.8,11.73
2026-04-15,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-15,TLKM.JK,306102252077056,14.09,2.23,18.31
2026-04-16,BBCA.JK,802659997057024,13.97,2.85,21.14
2026-04-16,BMRI.JK,433066652729344,7.69,1.47,19.14
2026-04-16,BBNI.JK,137850154647552,6.89,0.8,11.73
2026-04-16,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-16,TLKM.JK,309074134564864,14.22,2.25,18.31
2026-04-17,BBCA.JK,790358740959232,13.75,2.81,21.14
2026-04-17,BMRI.JK,431199986122752,7.66,1.47,19.14
2026-04-17,BBNI.JK,138222717894656,6.91,0.8,11.73
2026-04-17,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-17,TLKM.JK,307092879572992,14.13,2.24,18.31
2026-04-20,BBCA.JK,796509335453696,13.86,2.83,21.14
2026-04-20,BMRI.JK,431199986122752,7.66,1.47,19.14
2026-04-20,BBNI.JK,136732448129024,6.84,0.8,11.73
2026-04-20,GOTO.JK,56286540464128,N/A,1.77,-5.08
2026-04-20,TLKM.JK,307092879572992,14.14,2.24,18.31
2026-04-21,BBCA.JK,799584666255360,13.92,2.84,21.14
2026-04-21,BMRI.JK,438666652549120,7.79,1.49,19.14
2026-04-21,BBNI.JK,138967861166080,6.95,0.81,11.73
2026-04-21,GOTO.JK,59472571531264,N/A,1.87,-5.08
2026-04-21,TLKM.JK,298177265664000,13.73,2.17,18.31
2026-04-22,BBCA.JK,793434071760896,13.82,2.82,21.14
2026-04-22,BMRI.JK,443333335842816,7.87,1.51,19.14
2026-04-22,BBNI.JK,142693543968768,7.13,0.83,11.73
2026-04-22,GOTO.JK,59472571531264,N/A,1.87,-5.08
2026-04-22,TLKM.JK,297186671722496,13.69,2.17,18.31
2026-04-23,BBCA.JK,790358740959232,13.76,2.81,21.14
2026-04-23,BMRI.JK,432133336203264,7.68,1.47,21.04
2026-04-23,BBNI.JK,144183813734400,7.21,0.84,11.73
2026-04-23,GOTO.JK,57348550819840,N/A,1.8,-5.08
2026-04-23,TLKM.JK,285299175325696,13.13,2.08,18.31
2026-04-24,BBCA.JK,744228846043136,12.95,2.64,22.97
2026-04-24,BMRI.JK,419999986483200,7.46,1.38,21.04
2026-04-24,BBNI.JK,140458130931712,7.02,0.82,11.73
2026-04-24,GOTO.JK,55224530108416,N/A,1.74,-5.08
2026-04-24,TLKM.JK,278364833185792,12.82,2.03,18.31
2026-04-27,BBCA.JK,735002853638144,12.79,2.61,22.97
2026-04-27,BMRI.JK,410666653450240,7.29,1.35,21.04
2026-04-27,BBNI.JK,138595289530368,6.93,0.81,11.73
2026-04-27,GOTO.JK,56286540464128,N/A,1.77,-5.08
2026-04-27,TLKM.JK,280346071400448,12.91,2.04,18.31
2026-04-28,BBCA.JK,738078184439808,12.84,2.85,22.97
2026-04-28,BMRI.JK,413466670137344,7.34,1.35,21.04
